POWER
VOLUME_UP
VOLUME_DOWN
CHANNEL_UP
CHANNEL_DOWN
SOURCE
MENU
UP
DOWN
LEFT
RIGHT
ENTER
EXIT
MUTE
INFO
ZERO
ONE
TWO
THREE
FOUR
FIVE
SIX
SEVEN
EIGHT
NINE
