POWER,PWR
VOLUME_UP,VOL+,VOLUME+
VOLUME_DOWN,VOL-,VOLUME-
CHANNEL_UP,CH+
CHANNEL_DOWN,CH-
SOURCE,INPUT,VIDEO
MENU
UP
DOWN
LEFT
RIGHT
ENTER,RETURN,SELECT
EXIT,CLEAR,CANCEL
MUTE
INFO,HELP
ZERO,0
ONE,1
TWO,2
THREE,3
FOUR,4
FIVE,5
SIX,6
SEVEN,7
EIGHT,8
NINE,9
REWIND,REW,R SRCH
FASTFORWARD,FFWD,F SRCH,FF
STOP
PLAY
PAUSE,FREEZE
DISPLAY
EJECT,OPEN/CLOSE
MODE
SUBTITLE
GUIDE
FORWARD_STEP,F SEP
REVERSE_STEP,R STEP
TITLE
RECORD
RECALL,MEMORY,LAST
SLOW
